Table,Field,Type,Description
Addresses,,,The Addresses table contains fields for holding complete address. Used with infrastructures, pollution source site and contacts from municipalities.
Addresses,AddressID,Int32 (key),Contains the unique identifier on each row of the Addresses table
Addresses,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
Addresses,AddressTVItemID,Int32,Link to the TVItems table with the unique identifier
Addresses,AddressType,AddressTypeEnum (int),Address type
Addresses,CountryTVItemID,Int32,Link to the TVItems table representing the country
Addresses,ProvinceTVItemID,Int32,Link to the TVItems table representing the province
Addresses,MunicipalityTVItemID,Int32,Link to the TVItems table representing the municipality
Addresses,StreetName,String (max=200),Street name of the address
Addresses,StreetNumber,String (max=50),Street number of the address
Addresses,StreetType,StreetTypeEnum (int),Street type of the address
Addresses,PostalCode,String (min=6) (max=11),Postal code of the address
Addresses,GoogleAddressText,String (min=10) (max=200),Google address provided by Google Location Service
Addresses,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
Addresses,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
AppErrLogs,,,The AppErrLogs table contains fields for holding application errors.
AppErrLogs,AppErrLogID,Int32 (key),Contains the unique identifier on each row of the AppErrLogs table
AppErrLogs,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
AppErrLogs,Tag,String (max=100),Unique tag of the exception
AppErrLogs,LineNumber,Int32 (min=1),Line number of the exception
AppErrLogs,Source,String,Source of the exception
AppErrLogs,Message,String,Message of the exception
AppErrLogs,DateTime_UTC,DateTime,Date and time of the exception
AppErrLogs,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
AppErrLogs,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
AppTasks,,,The AppTasks table contains fields for holding application tasks sent to the server which can take a long time to complete.
AppTasks,AppTaskID,Int32 (key),Contains the unique identifier on each row of the AppTasks table
AppTasks,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
AppTasks,TVItemID,Int32,Link to the TVItems table with the unique identifier
AppTasks,TVItemID2,Int32,Link #2 to the TVItems table with the unique identifier
AppTasks,AppTaskCommand,AppTaskCommandEnum (int),App task command
AppTasks,AppTaskStatus,AppTaskStatusEnum (int),App task status
AppTasks,PercentCompleted,Int32 (min=0) (max=100),App task percent completed
AppTasks,Parameters,String,App task parameters
AppTasks,Language,LanguageEnum (int),App task Language
AppTasks,StartDateTime_UTC,DateTime,App task start date and time
AppTasks,EndDateTime_UTC,DateTime,App task end date and time
AppTasks,EstimatedLength_second,Int32 (min=0) (max=1000000),App task estimated time (secondes)
AppTasks,RemainingTime_second,Int32 (min=0) (max=1000000),App task time remaining (secondes)
AppTasks,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
AppTasks,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
AppTaskLanguages,,,The AppTaskLanguages table contains fields for holding bilingual texts for AppTasks table.
AppTaskLanguages,AppTaskLanguageID,Int32 (key),Contains the unique identifier on each row of the AppTaskLanguages table
AppTaskLanguages,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
AppTaskLanguages,AppTaskID,Int32,AppTask link to parent AppTasks table item
AppTaskLanguages,Language,LanguageEnum (int),Language of item
AppTaskLanguages,StatusText,String (max=250),Text describing the status of the AppTask
AppTaskLanguages,ErrorText,String (max=250),Text describing the error of the AppTask... if any
AppTaskLanguages,TranslationStatus,TranslationStatusEnum (int),Translation status of status text and error text
AppTaskLanguages,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
AppTaskLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
BoxModels,,,The BoxModels table contains fields for holding and managing Box Model scenarios
BoxModels,BoxModelID,Int32 (key),Contains the unique identifier on each row of the BoxModels table
BoxModels,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
BoxModels,InfrastructureTVItemID,Int32,Link to the TVItems table representing the infrastructure
BoxModels,Discharge_m3_day,Double (min=0) (max=10000),Discharge (m3/d) spilled by the infrastructure
BoxModels,Depth_m,Double (min=0) (max=1000),Average depth (m) of water in the vicinity of the spill
BoxModels,Temperature_C,Double (min=-15) (max=40),Temperature (deg C) of water in the vicinity of the spill
BoxModels,Dilution,Int32 (min=0) (max=10000000),Dilution (MPN / 100 mL) level to uptain in the vicinity of the spill
BoxModels,DecayRate_per_day,Double (min=0) (max=100),Average decay rate (/day) of the fecal coliform colonies
BoxModels,FCUntreated_MPN_100ml,Int32 (min=0) (max=10000000),Fecal coliform concentration of untreaded waste water (MPN / 100 mL)
BoxModels,FCPreDisinfection_MPN_100ml,Int32 (min=0) (max=10000000),Fecal coliform concentration of pre-disinfected waste water (MPN / 100 mL)
BoxModels,Concentration_MPN_100ml,Int32 (min=0) (max=10000000),Fecal coliform concentration objective after dilution (MPN / 100 mL)
BoxModels,T90_hour,Double (min=0),Time (hour) required for 90 % of the fecal coliform colonies to die off
BoxModels,DischargeDuration_hour,Double (min=0) (max=24),Discharge duration (hour/day)
BoxModels,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
BoxModels,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
BoxModelLanguages,,,The BoxModelLanguages table contains fields for holding bilingual texts for BoxModels table.
BoxModelLanguages,BoxModelLanguageID,Int32 (key),Contains the unique identifier on each row of the BoxModelLanguages table
BoxModelLanguages,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
BoxModelLanguages,BoxModelID,Int32,BoxModel link to parent BoxModels table item
BoxModelLanguages,Language,LanguageEnum (int),Language of item
BoxModelLanguages,ScenarioName,String (max=250),Scenario name of the box model
BoxModelLanguages,TranslationStatus,TranslationStatusEnum (int),Translation status of the scenario name
