Table,Field,Type,Description
Addresses,,,La table Addresses contient des champs pour contenir l'adresse complète. Elle est utilisée avec les infrastructures, les sites sources de pollution et les contacts des municipalités.
Addresses,AddressID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table Adresses
Addresses,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
Addresses,AddressTVItemID,Int32,Lien à la table TVItems avec l'identifiant unique
Addresses,AddressType,AddressTypeEnum (int),Type d'adresse
Addresses,CountryTVItemID,Int32,Lien à la table TVItems représentant le pays
Addresses,ProvinceTVItemID,Int32,Lien à la table TVItems représentant la province
Addresses,MunicipalityTVItemID,Int32,Lien à la table TVItems représentant la municipalité
Addresses,StreetName,String (max=200),Nom de la rue de l'adresse
Addresses,StreetNumber,String (max=50),Numéro de la rue de l'adresse
Addresses,StreetType,StreetTypeEnum (int),Type de rue de l'adresse
Addresses,PostalCode,String (min=6) (max=11),Code postale de l'adresse
Addresses,GoogleAddressText,String (min=10) (max=200),Adresse Google fourni par le service Google Location
Addresses,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
Addresses,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
AppErrLogs,,,La table AppErrLogs contient des champs pour contenir les erreurs d'application.
AppErrLogs,AppErrLogID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table AppErrLogs
AppErrLogs,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
AppErrLogs,Tag,String (max=100),Tag unique de l'exception
AppErrLogs,LineNumber,Int32 (min=1),Numéro de la ligne de l'exception
AppErrLogs,Source,String,Source de l'exception
AppErrLogs,Message,String,Message de l'exception
AppErrLogs,DateTime_UTC,DateTime,Date et temps de l'exception
AppErrLogs,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
AppErrLogs,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
AppTasks,,,La table AppTasks contient des champs pour contenir les tâches d'application envoyées au serveur qui peuvent prendre un certain temps.
AppTasks,AppTaskID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table AppTasks
AppTasks,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
AppTasks,TVItemID,Int32,Lien à la table TVItems avec l'identifiant unique
AppTasks,TVItemID2,Int32,Lien #2 à la table TVItems avec l'identifiant unique
AppTasks,AppTaskCommand,AppTaskCommandEnum (int),Commande de tâche App
AppTasks,AppTaskStatus,AppTaskStatusEnum (int),Statut de la tâche App
AppTasks,PercentCompleted,Int32 (min=0) (max=100),Pourcentage complété de la tâche App
AppTasks,Parameters,String,Paramètres de la tâche App
AppTasks,Language,LanguageEnum (int),Langage de la tâche App
AppTasks,StartDateTime_UTC,DateTime,Date et temps de départ de la tâche App
AppTasks,EndDateTime_UTC,DateTime,Date et temps de fin de la tâche App
AppTasks,EstimatedLength_second,Int32 (min=0) (max=1000000),Temps estimé de la tâche App (secondes)
AppTasks,RemainingTime_second,Int32 (min=0) (max=1000000),Temps qui reste de la tâche App (secondes)
AppTasks,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
AppTasks,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
AppTaskLanguages,,,La table AppTaskLanguages contient des champs pour contenir des textes bilingues pour la table AppTasks.
AppTaskLanguages,AppTaskLanguageID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table AppTaskLanguages
AppTaskLanguages,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
AppTaskLanguages,AppTaskID,Int32,Lien au parent AppTask à l'item de la table AppTasks
AppTaskLanguages,Language,LanguageEnum (int),Langage de l'item
AppTaskLanguages,StatusText,String (max=250),Texte décrivant le statut de AppTask
AppTaskLanguages,ErrorText,String (max=250),Texte décrivant l'erreur de AppTask... s'il y a lieu
AppTaskLanguages,TranslationStatus,TranslationStatusEnum (int),Le statut de la traduction du texte du statut et du texte de l'erreur
AppTaskLanguages,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
AppTaskLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
BoxModels,,,Le table BoxModels contient des champs pour contenir les scénarios de modélisation 'Box Model'.
BoxModels,BoxModelID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table BoxModels
BoxModels,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
BoxModels,InfrastructureTVItemID,Int32,Lien à la table TVItems représentant la infrastructure
BoxModels,Discharge_m3_day,Double (min=0) (max=10000),Débit (m3/d) déversé par l' infrastructure
BoxModels,Depth_m,Double (min=0) (max=1000),Profondeur moyenne (m) des eaux aux environs du déversement
BoxModels,Temperature_C,Double (min=-15) (max=40),Température (deg C) des eaux aux environs du déversement
BoxModels,Dilution,Int32 (min=0) (max=10000000),Niveau de dilution (NPP / 100 mL) à obtenir aux environs du déversement
BoxModels,DecayRate_per_day,Double (min=0) (max=100),Taux de décroissance moyen (/jour) des colonies de coliform fécaux
