Site,Date,FC_MPN_CF_NPP_100_mL,Temp_C,Sal_PPT_PPM
NB_0001,06,70,0,0
NB_0001,06,79,0,0
NB_0001,06,70,0,0
NB_0001,07,110,0,0
NB_0001,07,11,0,0
NB_0001,08,39,0,0
NB_0001,08,170,0,0
NB_0001,08,170,0,0
NB_0001,08,540,0,0
NB_0001,06,140,17,15
NB_0001,06,79,19,5
NB_0001,07,13,24,15
NB_0001,07,79,23,25
NB_0001,07,33,22,16
NB_0001,08,49,16,25
NB_0001,08,79,15,20
NB_0001,07,350,20,6
NB_0001,07,23,23,11
NB_0001,08,70,23,25
NB_0001,08,79,21,19
NB_0001,08,130,19,24
NB_0001,08,70,20,15
NB_0001,08,170,19,14
NB_0001,05,220,12,3
NB_0001,06,33,15,6
NB_0001,06,33,22,12
NB_0001,08,23,20,18
NB_0001,11,130,5,0
NB_0001,05,220,7,0
NB_0001,05,79,14,7
NB_0001,06,49,24,14
NB_0001,07,350,20,16
NB_0001,08,240,21,21
NB_0001,06,4,16,15
NB_0001,06,17,16,20
NB_0001,07,23,20,18
NB_0001,07,31,23,20
NB_0001,08,46,22,22
NB_0001,05,49,7,5
NB_0001,06,46,14,5
NB_0001,06,49,18,8
NB_0001,07,240,18,8
NB_0001,08,30,24,10
NB_0001,06,5,14,15
NB_0001,06,79,17,10
NB_0001,07,11,22,12
NB_0001,07,22,21,12
NB_0001,08,23,20,16
NB_0001,06,49,17,10
NB_0001,06,63,17,4
NB_0001,06,1700,15,2
NB_0001,07,110,23,24
NB_0001,08,540,20,2
NB_0001,05,23,19,14
NB_0001,06,5,11,12
NB_0001,07,70,22,8
NB_0001,07,70,22,10
NB_0001,08,8,25,18
NB_0001,06,23,15,8
NB_0001,06,49,14,2
NB_0001,07,33,25,12
NB_0001,07,79,21,15
NB_0001,08,49,23,12
NB_0001,05,23,15,8
NB_0001,06,79,16,10
NB_0001,06,17,20,2
NB_0001,07,49,22,12
NB_0001,08,350,22,4
NB_0001,05,33,18,10
NB_0001,06,170,18,14
NB_0001,07,23,20,8
NB_0001,07,49,20,14
NB_0001,08,22,27,14
NB_0001,05,22,10,6
NB_0001,05,49,18,6
NB_0001,06,350,12,6
NB_0001,07,170,15,4
NB_0001,08,49,18,26
NB_0001,06,79,14,0
NB_0001,06,49,19,12
NB_0001,07,33,22,12
NB_0001,07,4,20,18
NB_0001,08,14,18,20
NB_0001,05,23,13,10
NB_0001,05,4,15,10
NB_0001,06,27,17,14
NB_0001,07,49,24,10
NB_0001,07,11,23,18
NB_0002,06,49,0,0
NB_0002,06,110,0,0
NB_0002,06,280,0,0
NB_0002,07,33,0,0
NB_0002,07,33,0,0
NB_0002,07,17,0,0
NB_0002,08,17,0,0
NB_0002,08,17,0,0
NB_0002,08,11,0,0
NB_0002,08,49,0,0
NB_0002,08,130,0,0
NB_0002,06,13,17,15
NB_0002,06,33,19,10
NB_0002,07,13,25,16
NB_0002,07,170,23,18
NB_0002,07,23,22,18
NB_0002,08,170,16,23
NB_0002,08,79,15,20
NB_0002,07,70,20,10
NB_0002,07,23,23,14
NB_0002,08,21,22,19
NB_0002,08,33,22,19
NB_0002,08,33,18,19
NB_0002,08,130,21,18
NB_0002,08,1.9,19,15
NB_0002,05,79,13,6
NB_0002,06,5,14,9
NB_0002,06,33,21,15
NB_0002,08,17,20,18
NB_0002,11,920,5,0
NB_0002,05,79,8,0
NB_0002,05,23,13,10
NB_0002,06,27,24,16
NB_0002,07,79,20,17
NB_0002,08,140,21,22
NB_0002,06,5,15,15
NB_0002,06,33,15,20
NB_0002,07,5,21,22
NB_0002,07,79,23,22
NB_0002,08,23,22,24
NB_0002,05,79,8,6
NB_0002,06,33,14,8
NB_0002,06,2,18,10
NB_0002,07,49,18,10
NB_0002,08,22,24,12
NB_0002,06,2,14,16
NB_0002,06,31,16,12
NB_0002,07,5,22,15
NB_0002,07,13,21,16
NB_0002,08,17,20,16
NB_0002,06,70,17,10
NB_0002,06,11,17,6
NB_0002,06,540,16,6
NB_0002,07,13,23,15
NB_0002,08,79,20,4
NB_0002,05,8,18,12
NB_0002,06,2,12,14
NB_0002,07,33,22,8
NB_0002,07,170,22,12
NB_0002,08,5,24,18
NB_0002,06,8,15,12
NB_0002,06,49,14,4
NB_0002,07,23,25,14
NB_0002,07,79,21,18
NB_0002,08,31,23,14
NB_0002,05,11,14,10
NB_0002,06,13,16,12
NB_0002,06,33,20,2
NB_0002,07,23,22,14
NB_0002,08,170,22,4
NB_0002,05,2,17,15
NB_0002,06,8,18,15
NB_0002,07,23,20,10
NB_0002,07,5,20,15
NB_0002,08,13,27,17
NB_0002,05,13,10,8
NB_0002,05,11,18,10
NB_0002,06,49,12,8
NB_0002,07,31,15,8
NB_0002,08,49,18,28
NB_0002,06,17,14,2
NB_0002,06,4,19,12
NB_0002,07,17,22,15
NB_0002,07,13,20,18
NB_0002,08,8,18,20
NB_0002,05,2,12,12
NB_0002,05,17,15,12
NB_0002,06,2,17,16
NB_0002,07,7,24,12
NB_0002,07,4,23,20
